,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
117,113,DeAndre Jordan,C,26,LAC,14,14,482,5.9,8.2,.716,0.0,0.0,,5.9,8.2,.716,6.8,15.8,.427,4.9,13.9,18.9,1.6,1.6,3.3,1.7,4.2,18.5,,122,101
118,114,Jerome Jordan,C,28,BRK,1,0,5,0.0,20.4,.000,0.0,0.0,,0.0,20.4,.000,0.0,0.0,,10.2,10.2,20.4,0.0,0.0,0.0,10.2,0.0,0.0,,23,110
119,115,Cory Joseph,PG,23,SAS,4,0,22,11.5,13.8,.833,0.0,0.0,,11.5,13.8,.833,2.3,4.6,.500,0.0,2.3,2.3,0.0,0.0,2.3,2.3,4.6,25.4,,125,111
120,116,Chris Kaman,C,32,POR,3,0,37,5.6,11.3,.500,0.0,0.0,,5.6,11.3,.500,1.4,1.4,1.000,7.0,12.7,19.7,4.2,0.0,0.0,4.2,7.0,12.7,,103,109
121,117,Kyle Korver,SG,33,ATL,14,14,526,5.1,13.0,.391,3.8,10.7,.355,1.3,2.2,.565,1.3,1.6,.813,0.1,6.7,6.8,3.2,2.0,1.5,2.0,2.6,15.2,,101,103
122,118,Kosta Koufos,C,25,MEM,11,0,127,7.0,12.7,.548,0.0,0.0,,7.0,12.7,.548,1.2,2.1,.600,7.8,8.2,16.0,1.6,1.6,2.5,0.4,5.8,15.2,,130,102
123,119,Courtney Lee,SG,29,MEM,11,11,367,7.8,14.2,.550,2.0,4.3,.467,5.8,10.0,.586,3.1,3.3,.957,0.4,3.6,4.0,3.4,1.7,0.0,1.8,3.4,20.8,,123,108
124,120,David Lee,PF,31,GSW,13,0,107,7.7,19.2,.400,0.0,0.0,,7.7,19.2,.400,3.8,7.2,.533,5.3,11.0,16.3,3.8,1.4,1.0,1.0,8.1,19.2,,104,99
125,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
126,121,Kawhi Leonard,SF,23,SAS,7,7,250,10.6,22.1,.477,2.2,5.3,.423,8.3,16.9,.494,5.5,7.1,.771,2.6,7.9,10.6,3.7,1.6,0.8,3.0,3.7,28.8,,111,106
127,122,Meyers Leonard,C,22,POR,5,0,106,6.9,10.3,.667,4.9,6.4,.769,2.0,3.9,.500,0.5,1.0,.500,3.0,13.3,16.2,2.5,1.0,1.0,1.5,8.4,19.2,,156,106
128,123,Jon Leuer,PF,25,MEM,4,0,9,11.6,23.2,.500,0.0,0.0,,11.6,23.2,.500,0.0,0.0,,11.6,17.4,29.0,0.0,0.0,0.0,0.0,5.8,23.2,,119,103
129,124,Damian Lillard,PG,24,POR,5,5,201,10.1,24.9,.406,1.3,8.0,.161,8.8,16.9,.523,6.5,8.3,.781,0.5,4.7,5.2,6.0,0.5,0.8,3.1,3.9,28.0,,100,112
130,125,Shaun Livingston,PG,29,GSW,21,0,375,5.7,10.8,.532,0.0,0.1,.000,5.7,10.7,.538,2.9,3.4,.840,1.8,5.2,7.0,5.2,1.1,0.7,2.9,4.4,14.4,,111,104
131,126,Brook Lopez,C,26,BRK,6,6,234,9.4,19.0,.494,0.0,0.0,,9.4,19.0,.494,7.2,8.7,.825,4.4,7.4,11.8,1.1,0.9,2.8,1.3,3.9,26.0,,119,106
132,127,Robin Lopez,C,26,POR,5,5,117,4.0,6.7,.600,0.0,0.0,,4.0,6.7,.600,3.6,3.6,1.000,4.0,5.8,9.8,1.3,0.4,2.2,2.2,6.7,11.6,,126,110
133,128,Kevin Love,PF,26,CLE,4,4,107,8.4,20.3,.415,4.5,10.4,.429,4.0,9.9,.400,6.9,9.4,.737,3.0,10.9,13.8,4.9,0.5,1.0,3.0,5.9,28.2,,118,104
134,129,Kyle Lowry,PG,28,TOR,4,4,131,7.0,22.1,.316,1.9,8.9,.217,5.0,13.2,.382,3.1,4.3,.727,2.7,5.8,8.5,7.4,1.9,0.0,4.7,7.0,19.0,,82,114
135,130,Shelvin Mack,PG,24,ATL,10,0,99,7.8,20.2,.385,3.1,10.9,.286,4.7,9.3,.500,1.6,3.1,.500,1.0,4.7,5.7,5.2,4.1,0.0,1.0,3.6,20.2,,101,102
136,131,Shawn Marion,SF,36,CLE,6,0,25,2.1,12.7,.167,0.0,0.0,,2.1,12.7,.167,0.0,0.0,,4.2,8.5,12.7,2.1,4.2,0.0,0.0,2.1,4.2,,68,98
137,132,O.J. Mayo,SG,27,MIL,6,0,156,5.9,17.8,.333,2.0,6.3,.316,4.0,11.6,.343,4.0,4.0,1.000,0.3,6.3,6.6,5.9,2.3,0.3,3.0,4.6,17.8,,92,106
138,133,James Michael McAdoo,PF,22,GSW,5,0,10,10.3,15.4,.667,0.0,0.0,,10.3,15.4,.667,0.0,0.0,,5.1,15.4,20.5,0.0,0.0,5.1,5.1,0.0,20.5,,99,95
139,134,CJ McCollum,SG,23,POR,5,1,166,10.1,21.1,.478,3.5,7.2,.478,6.6,13.8,.477,3.1,4.1,.769,0.3,6.0,6.3,0.6,1.9,0.3,1.9,4.1,26.7,,110,109
140,135,Doug McDermott,SF,23,CHI,3,0,10,5.3,15.9,.333,5.3,10.6,.500,0.0,5.3,.000,10.6,10.6,1.000,5.3,5.3,10.6,5.3,0.0,0.0,5.3,0.0,26.6,,120,108
141,136,Khris Middleton,SF,23,MIL,6,6,232,7.8,20.4,.380,2.4,7.6,.324,5.3,12.9,.414,3.1,3.3,.933,1.6,3.3,4.9,2.7,3.1,0.7,2.2,3.1,21.1,,96,106
142,137,Mike Miller,SF,34,CLE,9,1,65,2.4,4.1,.600,2.4,4.1,.600,0.0,0.0,,0.0,0.0,,0.0,8.1,8.1,0.0,0.8,0.8,0.8,4.9,7.3,,139,105
143,138,Patty Mills,PG,26,SAS,7,0,112,9.5,19.0,.500,7.3,12.7,.571,2.3,6.3,.357,5.9,5.9,1.000,1.8,6.8,8.6,3.6,0.9,0.0,2.3,6.8,32.2,,138,109
144,139,Paul Millsap,PF,29,ATL,16,15,566,7.7,19.0,.407,1.4,4.4,.306,6.3,14.5,.438,5.3,7.1,.744,3.3,9.3,12.6,5.0,2.3,1.3,3.1,4.7,22.0,,102,101
145,140,Nikola Mirotić,PF,23,CHI,11,0,164,6.5,21.4,.303,2.3,9.7,.233,4.2,11.7,.361,5.2,6.5,.800,2.3,7.4,9.7,2.9,1.9,1.9,2.6,7.1,20.4,,90,100
146,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
147,141,Nazr Mohammed,C,37,CHI,3,0,14,7.6,26.6,.286,0.0,3.8,.000,7.6,22.8,.333,0.0,0.0,,11.4,7.6,19.0,0.0,0.0,3.8,0.0,0.0,15.2,,84,102
148,142,E'Twaun Moore,SG,25,CHI,3,0,9,11.8,35.4,.333,5.9,5.9,1.000,5.9,29.5,.200,0.0,0.0,,0.0,17.7,17.7,0.0,11.8,0.0,0.0,5.9,29.5,,86,72
149,143,Darius Morris,PG,24,BRK,1,0,5,0.0,10.2,.000,0.0,0.0,,0.0,10.2,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,116
150,144,Timofey Mozgov,C,28,CLE,20,20,529,7.4,14.8,.500,0.0,0.0,,7.4,14.8,.500,6.4,8.1,.790,5.7,8.9,14.6,1.3,0.8,3.6,3.7,5.7,21.2,,111,101
151,145,Mike Muscala,PF,23,ATL,10,0,102,10.1,16.6,.606,1.0,4.0,.250,9.1,12.6,.720,0.0,0.0,,4.0,5.0,9.1,0.5,0.5,1.5,2.0,6.5,21.1,,114,107
152,146,Joakim Noah,C,29,CHI,12,12,395,4.2,10.2,.408,0.0,0.0,,4.2,10.2,.408,0.9,2.7,.350,6.0,11.7,17.7,5.1,1.3,1.9,2.7,5.0,9.3,,98,98
153,147,Dirk Nowitzki*,PF,36,DAL,5,5,181,9.9,21.9,.452,1.0,4.4,.235,8.8,17.4,.507,6.8,7.3,.929,1.0,12.5,13.5,3.1,0.5,0.5,2.6,4.2,27.6,,111,111
154,148,Johnny O'Bryant,PF,21,MIL,1,0,12,12.9,34.4,.375,0.0,0.0,,12.9,34.4,.375,0.0,0.0,,4.3,8.6,12.9,0.0,0.0,0.0,0.0,4.3,25.8,,82,110
155,149,Kelly Olynyk,C,23,BOS,4,0,53,6.8,12.6,.538,2.9,5.8,.500,3.9,6.8,.571,1.0,1.9,.500,1.9,2.9,4.9,1.9,1.9,1.9,3.9,11.6,17.5,,101,111
156,150,Zaza Pachulia,C,30,MIL,6,6,129,6.4,16.0,.400,0.0,0.0,,6.4,16.0,.400,3.2,5.2,.615,4.4,11.6,16.0,3.6,4.0,1.2,2.0,6.0,16.0,,95,97
157,151,Kostas Papanikolaou,SF,24,HOU,8,0,21,2.3,9.0,.250,0.0,6.8,.000,2.3,2.3,1.000,2.3,4.5,.500,0.0,4.5,4.5,0.0,0.0,0.0,11.3,9.0,6.8,,30,115
158,152,Tony Parker*,PG,32,SAS,7,7,210,8.0,22.0,.363,0.0,2.2,.000,8.0,19.8,.402,2.4,4.1,.588,1.0,4.6,5.6,6.0,0.5,0.0,2.7,3.4,18.4,,85,112
159,153,Chandler Parsons,SF,26,DAL,1,1,37,6.4,19.1,.333,0.0,5.1,.000,6.4,14.0,.455,0.0,0.0,,0.0,7.6,7.6,2.5,0.0,0.0,1.3,1.3,12.7,,74,116
160,154,Patrick Patterson,PF,25,TOR,4,0,106,7.2,12.9,.556,3.4,7.2,.467,3.8,5.8,.667,1.9,1.9,1.000,1.9,4.8,6.7,2.4,1.4,0.0,1.4,2.4,19.6,,132,116
161,155,Chris Paul,PG,29,LAC,12,12,445,10.4,20.7,.503,3.0,7.1,.415,7.4,13.6,.548,5.2,5.6,.941,0.8,5.0,5.8,11.5,2.4,0.3,2.8,4.0,29.0,,127,108
162,156,Kendrick Perkins,C,30,CLE,8,0,33,3.2,12.8,.250,0.0,0.0,,3.2,12.8,.250,9.6,16.0,.600,3.2,11.2,14.4,0.0,0.0,4.8,6.4,9.6,16.0,,72,100
163,157,Paul Pierce*,SF,37,WAS,10,10,298,8.2,16.9,.485,5.6,10.7,.524,2.6,6.1,.417,2.9,3.4,.850,0.0,7.2,7.2,1.5,1.0,1.2,1.7,5.6,24.9,,125,103
164,158,Mason Plumlee,C,24,BRK,6,0,49,4.2,6.3,.667,0.0,0.0,,4.2,6.3,.667,4.2,11.5,.364,2.1,6.3,8.3,2.1,4.2,2.1,3.1,10.4,12.5,,94,99
165,159,Miles Plumlee,C,26,MIL,1,0,16,3.2,25.8,.125,0.0,0.0,,3.2,25.8,.125,3.2,6.4,.500,9.7,9.7,19.3,3.2,0.0,3.2,3.2,3.2,9.7,,54,106
166,160,Quincy Pondexter,SF,26,NOP,4,4,124,4.2,11.8,.357,1.3,4.2,.300,2.9,7.6,.389,2.5,2.9,.857,1.3,7.2,8.4,5.1,2.9,0.0,0.4,5.5,12.2,,113,113
167,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
168,161,Otto Porter Jr.,SF,21,WAS,10,0,331,6.0,13.5,.443,1.8,4.9,.375,4.1,8.6,.482,1.5,3.2,.476,3.7,8.6,12.3,2.8,1.8,0.3,0.9,2.5,15.3,,115,101
169,162,Dwight Powell,PF,23,DAL,2,0,3,0.0,15.7,.000,0.0,0.0,,0.0,15.7,.000,0.0,0.0,,0.0,15.7,15.7,15.7,0.0,0.0,0.0,15.7,0.0,,54,109
170,163,Phil Pressey,PG,23,BOS,2,0,5,0.0,30.9,.000,0.0,10.3,.000,0.0,20.6,.000,0.0,0.0,,10.3,0.0,10.3,0.0,0.0,10.3,0.0,10.3,0.0,,25,109
171,164,Pablo Prigioni,PG,37,HOU,17,0,293,3.1,9.2,.333,1.9,6.6,.293,1.1,2.6,.438,0.5,0.6,.750,1.0,2.1,3.1,6.3,2.4,0.0,1.9,6.5,8.6,,100,111
172,165,Zach Randolph,PF,33,MEM,11,11,382,9.7,23.0,.423,0.1,0.7,.200,9.6,22.3,.429,4.0,4.5,.879,4.4,8.3,12.7,3.1,0.8,0.0,3.1,5.1,23.5,,97,107
173,166,JJ Redick,SG,30,LAC,14,14,540,6.3,14.5,.435,3.2,7.9,.398,3.2,6.6,.479,3.0,3.2,.943,0.0,2.7,2.7,2.2,0.9,0.5,2.3,3.2,18.7,,106,113
174,167,Austin Rivers,SG,22,LAC,14,2,250,9.0,20.4,.438,2.5,6.8,.371,6.4,13.6,.471,2.3,3.7,.632,1.2,3.5,4.7,3.1,1.9,0.8,2.3,5.4,22.8,,100,109
175,168,Rajon Rondo,PG,28,DAL,2,2,37,11.5,25.5,.450,1.3,2.5,.500,10.2,22.9,.444,0.0,0.0,,1.3,1.3,2.5,7.6,0.0,0.0,2.5,7.6,24.2,,103,119
176,169,Derrick Rose,PG,26,CHI,12,12,454,10.9,27.5,.396,2.7,7.7,.348,8.2,19.8,.414,4.1,4.6,.897,1.5,5.3,6.8,9.1,1.6,0.7,4.4,2.6,28.5,,100,103
177,170,Terrence Ross,SF,23,TOR,4,4,107,5.2,13.8,.379,2.8,8.5,.333,2.4,5.2,.455,0.0,0.0,,0.0,2.8,2.8,1.9,1.4,1.9,0.9,4.7,13.3,,94,115
178,171,Brandon Rush,SG,29,GSW,3,0,7,7.3,43.9,.167,7.3,14.6,.500,0.0,29.3,.000,0.0,0.0,,7.3,14.6,22.0,0.0,0.0,0.0,0.0,14.6,22.0,,67,100
179,172,Dennis Schröder,PG,21,ATL,16,0,290,9.9,25.7,.386,1.4,6.0,.235,8.5,19.6,.432,4.2,5.0,.857,0.9,4.2,5.1,11.0,1.6,0.0,4.8,5.0,25.5,,94,107
180,173,Mike Scott,PF,26,ATL,11,0,172,6.3,16.4,.382,1.2,7.8,.154,5.1,8.7,.586,1.2,1.2,1.000,4.8,9.0,13.7,1.5,1.5,0.0,2.1,4.8,14.9,,93,104
181,174,Kevin Séraphin,C,25,WAS,6,0,72,10.6,21.8,.484,0.0,0.0,,10.6,21.8,.484,2.1,4.2,.500,2.1,11.3,13.4,1.4,1.4,0.7,2.8,7.0,23.3,,93,100
182,175,Ramon Sessions,PG,28,WAS,10,3,218,6.1,16.3,.371,2.3,5.8,.400,3.7,10.5,.356,3.0,4.4,.684,0.5,5.1,5.6,5.4,0.9,0.2,2.3,3.3,17.5,,100,106
183,176,Iman Shumpert,SG,24,CLE,20,16,695,4.5,12.5,.360,2.5,7.1,.355,2.0,5.4,.366,2.3,3.0,.750,1.8,5.7,7.5,1.8,1.9,1.2,1.0,3.8,13.8,,109,104
184,177,Marcus Smart,PG,20,BOS,4,3,90,8.0,16.6,.483,1.7,7.4,.231,6.3,9.1,.688,4.6,8.6,.533,2.9,3.4,6.3,2.9,0.6,0.6,2.3,6.9,22.3,,107,116
185,178,Greg Smith,PF,24,DAL,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,120
186,179,J.R. Smith,SG,29,CLE,18,4,560,7.8,19.5,.403,4.8,13.4,.359,3.0,6.0,.500,1.3,1.9,.700,0.9,7.2,8.0,2.1,1.6,0.9,1.4,5.1,21.8,,110,104
187,180,Josh Smith,PF,29,HOU,17,8,396,10.1,23.2,.438,3.2,8.5,.380,6.9,14.7,.472,3.8,8.8,.432,3.1,8.4,11.5,5.5,1.1,2.0,4.5,4.9,27.3,,97,108
188,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
189,181,Russ Smith,PG,23,MEM,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,34.8,0.0,0.0,0.0,0.0,0.0,,212,115
190,182,Tony Snell,SF,23,CHI,11,0,140,5.7,16.7,.341,3.4,10.2,.333,2.3,6.4,.353,1.5,1.5,1.000,0.4,6.1,6.4,2.3,0.0,1.1,1.9,4.9,16.3,,94,106
191,183,Marreese Speights,C,27,GSW,10,0,67,10.7,32.1,.333,0.0,0.0,,10.7,32.1,.333,6.9,11.5,.600,6.1,9.9,16.1,3.1,3.1,2.3,3.1,10.7,28.3,,87,94
192,184,Tiago Splitter,C,30,SAS,7,7,123,3.7,9.9,.375,0.0,0.0,,3.7,9.9,.375,2.5,7.8,.316,5.4,7.4,12.8,3.7,1.7,0.4,2.9,7.0,9.9,,87,107
193,185,Greg Stiemsma,C,29,TOR,1,0,2,50.8,50.8,1.000,0.0,0.0,,50.8,50.8,1.000,25.4,50.8,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,,178,122
194,186,Amar'e Stoudemire,PF,32,DAL,5,0,75,9.4,22.0,.429,0.0,0.0,,9.4,22.0,.429,5.7,8.2,.692,4.4,5.7,10.0,1.9,0.6,1.9,4.4,10.0,24.5,,94,112
195,187,Jared Sullinger,PF,22,BOS,4,0,80,13.5,24.4,.553,1.9,5.8,.333,11.6,18.6,.621,2.6,4.5,.571,5.8,12.2,18.0,0.6,0.0,1.9,3.2,7.7,31.5,,109,109
196,188,Jeff Teague,PG,26,ATL,16,16,529,9.5,23.2,.410,2.0,6.3,.323,7.5,16.9,.443,5.0,5.8,.867,1.0,4.0,4.9,10.4,2.3,0.7,4.2,3.3,26.1,,102,105
197,189,Mirza Teletović,PF,29,BRK,3,0,16,0.0,16.0,.000,0.0,12.8,.000,0.0,3.2,.000,0.0,0.0,,0.0,12.8,12.8,0.0,3.2,0.0,3.2,3.2,0.0,,0,101
198,190,Garrett Temple,SG,28,WAS,4,0,26,2.0,11.7,.167,0.0,5.9,.000,2.0,5.9,.333,9.8,15.6,.625,2.0,3.9,5.9,2.0,3.9,0.0,5.9,7.8,13.7,,69,100
199,191,Jason Terry,SG,37,HOU,17,17,487,5.5,13.0,.425,2.8,8.0,.354,2.7,5.0,.538,1.3,1.6,.813,0.6,3.1,3.7,4.7,1.5,0.2,1.9,4.5,15.1,,109,113
200,192,Isaiah Thomas,PG,25,BOS,4,0,119,7.8,23.3,.333,1.3,7.8,.167,6.5,15.6,.417,13.4,13.8,.969,0.4,4.8,5.2,12.1,1.3,0.0,6.1,4.3,30.3,,102,114
201,193,Klay Thompson,SG,24,GSW,21,21,761,10.0,22.5,.446,3.8,9.8,.390,6.2,12.7,.489,2.4,3.0,.800,0.6,4.8,5.5,3.6,1.1,1.3,2.8,4.3,26.3,,106,103
202,194,Tristan Thompson,PF,23,CLE,20,15,727,5.2,9.4,.558,0.0,0.0,,5.2,9.4,.558,3.5,6.0,.585,6.4,9.3,15.7,0.7,0.4,1.7,1.1,3.6,14.0,,128,104
203,195,Hedo Türkoğlu,SF,35,LAC,11,0,55,3.5,15.0,.235,1.8,11.5,.154,1.8,3.5,.500,0.0,0.0,,0.9,5.3,6.2,3.5,3.5,0.9,1.8,8.8,8.8,,68,104
204,196,Evan Turner,SG,26,BOS,4,4,118,7.0,19.2,.364,0.9,1.7,.500,6.1,17.4,.350,3.5,3.9,.889,0.9,11.8,12.6,8.3,1.3,0.0,3.9,4.8,18.3,,89,109
205,197,Ekpe Udoh,PF,27,LAC,4,0,12,4.1,12.2,.333,0.0,0.0,,4.1,12.2,.333,0.0,0.0,,0.0,12.2,12.2,0.0,0.0,0.0,0.0,12.2,8.1,,70,108
206,198,Beno Udrih,PG,32,MEM,10,0,175,9.2,21.8,.425,1.2,4.8,.250,8.1,17.0,.474,3.0,3.6,.833,1.2,4.8,6.0,6.3,1.5,0.0,1.2,4.8,22.7,,106,108
207,199,Jonas Valančiūnas,C,22,TOR,4,4,106,9.1,18.2,.500,0.0,0.0,,9.1,18.2,.500,3.4,3.8,.875,4.3,13.4,17.7,1.0,1.0,0.5,1.9,3.4,21.6,,108,111
208,200,Greivis Vásquez,PG,28,TOR,4,0,101,5.5,14.6,.379,2.5,7.0,.357,3.0,7.5,.400,1.5,1.5,1.000,0.0,3.5,3.5,6.0,1.0,0.0,2.0,7.5,15.1,,99,117
209,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
210,201,Charlie Villanueva,PF,30,DAL,5,0,43,12.0,27.4,.440,8.8,20.8,.421,3.3,6.6,.500,0.0,0.0,,4.4,9.9,14.2,3.3,1.1,1.1,0.0,11.0,32.9,,134,110
211,202,John Wall,PG,24,WAS,7,7,273,8.0,20.4,.391,0.6,3.2,.176,7.4,17.3,.430,6.1,7.2,.846,0.9,5.2,6.1,15.4,1.9,1.9,5.0,2.4,22.7,,105,102
212,203,Gerald Wallace,SF,32,BOS,1,0,4,0.0,12.9,.000,0.0,0.0,,0.0,12.9,.000,0.0,0.0,,0.0,12.9,12.9,0.0,0.0,0.0,0.0,0.0,0.0,,0,111
213,204,Martell Webster,SF,28,WAS,1,0,4,12.7,25.4,.500,0.0,12.7,.000,12.7,12.7,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,,100,111
214,205,Deron Williams,PG,30,BRK,6,6,192,7.2,18.4,.391,2.9,6.9,.423,4.3,11.4,.372,1.6,1.9,.857,0.8,9.0,9.8,8.8,2.1,0.0,4.3,4.8,18.9,,95,105
215,206,Lou Williams,SG,28,TOR,4,0,102,8.0,25.4,.314,2.0,10.5,.190,6.0,14.9,.400,7.5,9.0,.833,1.0,2.5,3.5,2.5,3.0,0.0,1.5,4.5,25.4,,91,114
216,207,Thaddeus Young,PF,26,BRK,6,6,190,7.8,17.7,.439,0.0,1.1,.000,7.8,16.7,.468,1.3,3.2,.417,4.6,7.0,11.6,4.3,1.3,0.3,3.8,4.0,16.9,,90,108
217,208,Tyler Zeller,C,25,BOS,4,4,90,8.6,16.6,.517,0.0,0.0,,8.6,16.6,.517,2.3,2.9,.800,1.1,9.1,10.3,1.1,1.1,0.6,2.3,2.9,19.4,,100,110
