,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
22,22,Malcolm Brogdon,SG,24,MIL,6,6,183,6.4,15.9,.400,2.9,6.1,.476,3.5,9.9,.353,0.0,0.0,,0.9,6.7,7.5,6.1,0.9,0.6,3.5,3.5,15.7,,92,107
23,23,Aaron Brooks,PG,32,IND,1,0,7,14.5,21.7,.667,7.2,14.5,.500,7.2,7.2,1.000,0.0,0.0,,0.0,7.2,7.2,7.2,0.0,0.0,7.2,0.0,36.2,,121,124
24,24,Bobby Brown,PG,32,HOU,5,0,22,22.6,45.3,.500,11.3,24.9,.455,11.3,20.4,.556,0.0,0.0,,0.0,4.5,4.5,2.3,0.0,0.0,0.0,2.3,56.6,,117,116
25,25,Jaylen Brown,SF,20,BOS,17,0,215,8.1,16.9,.479,1.2,5.5,.217,6.9,11.4,.604,2.9,4.3,.667,2.9,5.7,8.6,3.1,1.4,0.5,3.1,6.2,20.2,,102,116
26,26,Trey Burke,PG,24,WAS,3,0,20,0.0,9.9,.000,0.0,5.0,.000,0.0,5.0,.000,0.0,0.0,,0.0,0.0,0.0,12.4,0.0,0.0,0.0,5.0,0.0,,64,120
27,27,Jimmy Butler,SF,27,CHI,6,6,239,10.0,23.5,.426,1.3,5.0,.261,8.7,18.5,.471,8.3,10.2,.809,2.0,7.6,9.6,5.7,2.2,1.1,3.3,2.2,29.7,,111,111
28,28,José Calderón,PG,35,ATL,6,0,75,7.2,15.0,.478,2.6,7.8,.333,4.6,7.2,.636,0.0,0.0,,1.3,3.9,5.2,8.5,1.3,0.7,2.6,5.9,16.9,,115,110
29,29,Isaiah Canaan,SG,25,CHI,3,2,95,7.1,14.3,.500,2.7,7.7,.357,4.4,6.6,.667,2.2,3.3,.667,0.0,2.2,2.2,2.2,1.6,0.0,2.7,3.3,19.2,,109,116
30,30,Clint Capela,C,22,HOU,11,11,286,8.0,14.3,.561,0.0,0.2,.000,8.0,14.1,.568,4.2,6.8,.615,4.5,12.2,16.7,2.1,1.4,4.9,1.4,4.9,20.2,,124,102
31,31,DeMarre Carroll,SF,30,TOR,10,7,155,5.0,12.3,.405,2.3,7.3,.318,2.7,5.0,.533,1.7,3.0,.556,1.3,7.6,9.0,1.7,2.7,1.7,1.7,4.3,14.0,,98,106
32,32,Vince Carter*,SF,40,MEM,6,6,195,5.7,12.0,.476,2.3,5.7,.400,3.4,6.3,.545,2.0,2.0,1.000,1.1,4.6,5.7,2.6,0.6,0.0,2.9,4.3,15.8,,106,123
33,33,Michael Carter-Williams,PG,25,CHI,5,0,53,5.9,14.7,.400,0.0,1.0,.000,5.9,13.8,.429,2.0,3.9,.500,1.0,2.9,3.9,5.9,2.0,1.0,5.9,5.9,13.8,,76,114
34,34,Semaj Christon,PG,24,OKC,2,0,21,4.6,11.6,.400,2.3,7.0,.333,2.3,4.6,.500,0.0,0.0,,0.0,7.0,7.0,11.6,2.3,0.0,0.0,2.3,11.6,,136,115
35,35,Ian Clark,SG,25,GSW,16,0,219,8.7,17.3,.506,2.8,7.9,.361,5.9,9.4,.628,3.5,3.7,.941,0.9,4.8,5.7,2.4,1.3,0.0,2.4,3.7,23.8,,115,110
36,36,Norris Cole,PG,28,OKC,4,0,25,3.9,15.6,.250,1.9,7.8,.250,1.9,7.8,.250,0.0,0.0,,0.0,1.9,1.9,1.9,0.0,1.9,3.9,7.8,9.7,,58,120
37,37,Mike Conley,PG,29,MEM,6,6,224,12.5,25.7,.485,4.2,9.5,.447,8.2,16.2,.508,7.7,9.2,.838,0.2,4.7,5.0,10.5,2.5,0.7,3.0,2.7,36.9,,125,118
38,38,Pat Connaughton,SG,24,POR,3,0,24,3.9,17.6,.222,0.0,11.7,.000,3.9,5.9,.667,5.9,5.9,1.000,2.0,11.7,13.7,7.8,0.0,0.0,0.0,0.0,13.7,,95,120
39,39,Allen Crabbe,SG,24,POR,4,0,92,4.6,12.2,.375,1.5,6.6,.231,3.1,5.6,.545,0.5,1.5,.333,0.0,6.1,6.1,1.0,0.5,0.0,0.5,4.6,11.2,,90,121
40,40,Jamal Crawford,SG,36,LAC,7,0,196,9.5,22.6,.422,1.6,6.8,.240,7.9,15.8,.500,3.3,3.3,1.000,0.5,1.9,2.5,3.5,1.1,0.3,2.5,3.3,24.0,,98,113
41,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
42,41,Jae Crowder,SF,26,BOS,18,18,596,7.5,17.2,.435,2.7,7.5,.352,4.8,9.6,.500,3.4,4.1,.833,1.7,8.1,9.9,4.1,1.6,0.5,1.0,4.5,21.0,,117,114
43,42,Stephen Curry,PG,28,GSW,17,17,601,12.0,24.8,.484,5.7,13.7,.419,6.3,11.1,.564,8.2,9.1,.904,1.8,6.7,8.4,9.1,2.7,0.3,4.6,2.9,38.0,,125,105
44,43,Troy Daniels,SG,25,MEM,6,0,68,2.5,7.4,.333,2.5,7.4,.333,0.0,0.0,,0.0,0.0,,0.8,3.3,4.1,1.6,1.6,0.0,1.6,0.8,7.4,,92,122
45,44,Deyonta Davis,C,20,MEM,3,0,11,15.2,25.4,.600,0.0,0.0,,15.2,25.4,.600,5.1,10.2,.500,10.2,15.2,25.4,0.0,0.0,0.0,0.0,10.2,35.6,,130,118
46,45,Dewayne Dedmon,C,27,SAS,12,3,97,7.4,12.2,.609,0.0,0.0,,7.4,12.2,.609,9.0,17.0,.531,11.1,13.8,25.0,1.6,1.1,1.6,4.2,8.5,23.9,,119,109
47,46,Sam Dekker,PF,22,HOU,4,0,31,4.8,19.3,.250,4.8,9.6,.500,0.0,9.6,.000,0.0,0.0,,8.0,8.0,16.1,1.6,1.6,1.6,0.0,3.2,14.5,,105,108
48,47,Malcolm Delaney,PG,27,ATL,1,0,3,48.8,48.8,1.000,16.3,16.3,1.000,32.5,32.5,1.000,16.3,32.5,.500,0.0,16.3,16.3,0.0,0.0,0.0,0.0,0.0,130.1,,210,107
49,48,Matthew Dellavedova,PG,26,MIL,6,0,159,5.3,13.7,.390,2.0,5.3,.375,3.3,8.3,.400,2.7,3.3,.800,0.3,3.7,4.0,4.0,0.3,0.0,2.3,1.7,15.3,,97,111
50,49,DeMar DeRozan,SG,27,TOR,10,10,373,10.5,24.2,.434,0.1,2.1,.067,10.4,22.1,.469,9.8,11.1,.888,0.6,6.2,6.8,4.7,1.9,0.0,3.5,3.6,31.0,,104,111
51,50,Boris Diaw,PF,34,UTA,11,9,203,6.2,12.3,.500,1.5,3.6,.429,4.6,8.7,.529,2.3,2.6,.900,0.8,4.6,5.4,5.6,1.8,1.0,3.6,3.1,16.2,,105,112
52,51,Mike Dunleavy,SF,36,ATL,6,0,53,2.8,6.4,.429,1.8,4.6,.400,0.9,1.8,.500,3.7,3.7,1.000,0.9,3.7,4.6,1.8,0.9,0.0,5.5,2.8,11.1,,86,112
53,52,Kevin Durant,PF,28,GSW,15,15,533,13.4,24.1,.556,3.4,7.7,.442,10.0,16.3,.610,8.3,9.2,.893,1.4,9.2,10.7,5.7,1.1,1.8,3.4,3.5,38.4,,129,105
54,53,Monta Ellis,SG,31,IND,4,2,76,5.3,13.3,.400,1.3,5.3,.250,4.0,8.0,.500,2.7,3.3,.800,0.7,4.7,5.3,3.3,1.3,0.7,2.7,3.3,14.7,,98,121
55,54,James Ennis III,SF,26,MEM,6,4,159,5.6,13.4,.421,2.1,6.7,.316,3.5,6.7,.526,4.2,4.9,.857,2.8,6.0,8.8,2.5,1.8,0.7,2.5,7.0,17.6,,111,119
56,55,Danté Exum,PG,21,UTA,7,0,84,6.8,16.7,.407,2.5,7.4,.333,4.3,9.3,.467,3.7,3.7,1.000,1.2,2.5,3.7,5.6,3.1,0.0,1.9,6.2,19.8,,111,111
57,56,Derrick Favors,PF,25,UTA,11,2,225,8.3,14.4,.581,0.0,0.0,,8.3,14.4,.581,2.5,5.3,.478,3.5,10.4,13.9,2.3,1.9,1.4,0.9,5.8,19.2,,120,108
58,57,Cristiano Felício,C,24,CHI,6,0,82,5.7,9.5,.600,0.0,0.0,,5.7,9.5,.600,0.6,1.3,.500,4.4,12.1,16.5,1.3,1.9,1.3,4.4,10.2,12.1,,93,108
59,58,Raymond Felton,PG,32,LAC,7,0,127,6.3,13.5,.469,1.7,3.8,.444,4.6,9.7,.478,2.1,2.1,1.000,0.8,3.4,4.2,4.2,2.5,0.0,1.3,4.2,16.4,,117,110
60,59,Bryn Forbes,SG,23,SAS,6,0,73,4.2,14.8,.286,1.4,6.3,.222,2.8,8.5,.333,4.2,4.2,1.000,0.0,4.2,4.2,2.1,0.0,0.7,1.4,3.5,14.1,,93,118
61,60,Enes Freedom,C,24,OKC,5,0,45,10.8,28.1,.385,0.0,0.0,,10.8,28.1,.385,4.3,4.3,1.000,3.2,6.5,9.7,1.1,0.0,4.3,2.2,8.7,26.0,,92,115
62,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
63,61,Channing Frye,C,33,CLE,12,0,154,10.0,19.4,.517,6.5,12.6,.513,3.5,6.8,.524,1.9,2.3,.857,0.0,7.1,7.1,4.2,1.0,1.3,0.6,3.5,28.4,,142,113
64,62,Marc Gasol,C,32,MEM,6,6,240,9.1,19.3,.470,1.6,2.8,.583,7.5,16.5,.451,7.2,7.7,.939,1.6,7.5,9.1,5.8,0.5,0.9,3.5,5.1,27.0,,115,121
65,63,Pau Gasol*,C,36,SAS,16,7,365,7.1,16.1,.439,0.8,2.5,.333,6.2,13.5,.458,2.4,3.4,.708,5.5,10.6,16.1,4.4,1.0,2.1,2.5,4.9,17.4,,110,110
66,64,Paul George,SF,26,IND,4,4,172,10.0,25.9,.386,5.3,12.4,.429,4.7,13.5,.348,7.7,8.8,.867,1.5,8.8,10.3,8.5,2.1,0.6,3.8,3.8,33.0,,116,117
67,65,Taj Gibson,PF,31,OKC,5,5,118,8.7,14.4,.600,0.0,0.0,,8.7,14.4,.600,2.9,3.3,.875,1.2,6.2,7.4,1.2,0.4,0.0,3.3,5.4,20.2,,108,119
68,66,Manu Ginóbili*,SG,39,SAS,16,1,284,7.3,17.6,.412,1.6,7.3,.225,5.6,10.3,.544,3.1,4.2,.739,1.8,5.3,7.1,7.1,2.9,0.4,2.2,5.1,19.2,,110,111
69,67,Rudy Gobert,C,24,UTA,9,9,246,8.5,13.3,.635,0.0,0.0,,8.5,13.3,.635,5.1,10.6,.480,4.7,14.2,18.9,2.3,1.9,2.5,1.9,6.4,22.0,,121,105
70,68,Eric Gordon,SG,28,HOU,11,2,358,7.1,16.8,.421,3.8,9.7,.386,3.3,7.1,.471,1.8,2.5,.722,0.7,5.3,6.0,3.1,1.1,0.8,1.9,2.8,19.8,,108,112
71,69,Marcin Gortat,C,32,WAS,13,13,409,5.7,11.3,.505,0.0,0.0,,5.7,11.3,.505,1.3,2.2,.611,6.3,11.0,17.4,2.9,0.6,2.4,2.1,4.9,12.7,,114,109
72,70,Jerami Grant,PF,22,OKC,5,0,111,8.3,13.6,.613,0.9,2.6,.333,7.5,11.0,.680,2.6,3.1,.857,3.1,5.3,8.3,1.8,0.4,0.9,1.3,3.1,20.2,,134,119
73,71,Jerian Grant,PG,24,CHI,5,2,52,6.0,23.1,.261,1.0,9.0,.111,5.0,14.0,.357,3.0,3.0,1.000,0.0,4.0,4.0,5.0,2.0,0.0,7.0,3.0,16.0,,63,114
74,72,Danny Green,SG,29,SAS,16,16,436,5.3,13.1,.405,3.1,9.0,.342,2.2,4.1,.543,0.9,1.7,.571,1.5,5.2,6.7,2.7,1.2,1.8,2.0,3.5,14.6,,106,113
75,73,Draymond Green,PF,26,GSW,17,17,593,5.8,13.0,.447,2.6,6.3,.410,3.2,6.7,.482,3.7,5.4,.687,1.6,10.9,12.5,8.9,2.5,2.3,2.9,4.8,17.9,,119,100
76,74,Gerald Green,SF,31,BOS,13,7,192,9.1,19.2,.472,5.6,12.0,.467,3.5,7.2,.481,2.1,2.4,.889,0.5,4.8,5.3,2.4,0.8,0.3,1.9,5.6,25.8,,116,118
77,75,JaMychal Green,PF,26,MEM,6,2,118,8.1,17.1,.472,3.3,7.6,.438,4.7,9.5,.500,1.4,1.4,1.000,1.4,8.1,9.5,0.9,0.0,0.0,1.9,10.0,20.8,,109,122
78,76,Blake Griffin,PF,27,LAC,3,3,99,13.5,27.5,.490,2.2,3.2,.667,11.3,24.3,.467,3.8,3.8,1.000,1.6,8.1,9.7,3.8,1.1,0.5,3.2,1.1,32.9,,107,111
79,77,Tim Hardaway Jr.,SG,24,ATL,6,6,200,6.6,20.0,.329,2.7,10.2,.262,3.9,9.8,.400,2.9,4.6,.632,0.7,3.2,3.9,1.7,0.7,0.0,2.4,3.2,18.8,,86,113
80,78,James Harden,PG,27,HOU,11,11,407,11.0,26.7,.413,3.9,14.1,.278,7.1,12.6,.563,12.4,14.1,.878,0.9,6.5,7.3,11.4,2.6,0.6,7.2,5.3,38.3,,111,108
81,79,Maurice Harkless,SF,23,POR,4,4,99,4.7,16.1,.294,0.9,5.7,.167,3.8,10.4,.364,3.3,3.8,.875,3.3,2.8,6.2,1.4,2.4,2.4,0.5,6.6,13.8,,93,114
82,80,Montrezl Harrell,C,23,HOU,5,0,21,2.4,7.1,.333,0.0,0.0,,2.4,7.1,.333,7.1,14.2,.500,2.4,11.9,14.2,4.7,0.0,0.0,4.7,16.6,11.9,,86,110
83,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
84,81,Andrew Harrison,PG,22,MEM,6,0,119,6.1,13.6,.448,2.3,6.1,.385,3.8,7.5,.500,3.8,4.2,.889,1.9,3.3,5.2,6.1,1.4,0.5,1.4,6.6,18.3,,126,121
85,82,Spencer Hawes,PF,28,MIL,3,0,17,6.2,15.6,.400,3.1,6.2,.500,3.1,9.4,.333,0.0,0.0,,6.2,6.2,12.5,3.1,0.0,3.1,3.1,9.4,15.6,,101,106
86,83,Gordon Hayward,SF,26,UTA,11,11,411,10.5,23.8,.441,3.5,8.6,.412,7.0,15.2,.458,9.0,9.6,.934,0.9,7.6,8.5,4.7,1.3,0.4,3.0,2.9,33.6,,115,112
87,84,John Henson,C,26,MIL,2,0,12,4.4,17.7,.250,0.0,0.0,,4.4,17.7,.250,4.4,4.4,1.000,8.8,8.8,17.7,0.0,4.4,0.0,4.4,4.4,13.3,,77,99
88,85,Nenê,C,34,HOU,9,0,161,11.1,15.8,.706,0.0,0.3,.000,11.1,15.5,.720,5.6,9.6,.581,3.4,9.6,13.0,1.5,1.9,1.2,2.8,7.4,27.8,,127,107
89,86,George Hill,PG,30,UTA,8,8,281,8.5,18.2,.469,2.2,5.7,.387,6.3,12.4,.507,3.9,5.4,.724,1.5,4.6,6.1,5.4,0.4,0.2,2.4,4.6,23.2,,111,116
90,87,Rodney Hood,SG,24,UTA,11,0,277,7.0,19.8,.352,2.4,9.4,.260,4.5,10.3,.436,2.1,3.4,.611,0.2,5.5,5.6,2.3,0.9,0.0,1.9,5.6,18.4,,84,114
91,88,Al Horford,C,30,BOS,18,18,610,9.3,15.9,.584,2.3,4.4,.519,7.0,11.6,.609,1.8,2.4,.759,2.6,7.3,9.9,8.1,1.3,1.2,2.8,2.8,22.7,,128,115
92,89,Dwight Howard*,C,31,ATL,6,6,157,5.6,11.2,.500,0.0,0.0,,5.6,11.2,.500,3.7,5.9,.632,5.6,14.3,19.9,2.5,1.9,1.6,3.4,6.5,14.9,,105,102
93,90,Kris Humphries,PF,31,ATL,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,16.3,0.0,0.0,0.0,,,96
94,91,Serge Ibaka,PF,27,TOR,10,10,307,10.1,21.8,.462,2.0,6.4,.316,8.1,15.4,.522,1.8,2.2,.846,1.5,9.4,10.9,2.4,0.7,2.9,1.8,6.2,24.0,,102,108
95,92,Andre Iguodala,SF,33,GSW,16,0,419,5.3,11.5,.455,0.9,4.8,.190,4.3,6.7,.644,1.7,3.0,.577,1.0,6.4,7.4,5.8,1.6,0.8,1.8,3.3,13.1,,109,107
96,93,Ersan İlyasova,PF,29,ATL,6,0,90,4.3,12.5,.348,0.5,2.7,.200,3.8,9.8,.389,3.8,4.9,.778,7.6,9.2,16.8,1.1,0.5,0.0,2.7,3.8,13.0,,101,110
97,94,Joe Ingles,SF,29,UTA,11,11,334,3.9,9.7,.403,2.3,6.4,.366,1.6,3.3,.476,0.9,1.4,.667,0.3,6.1,6.4,5.6,3.4,0.8,2.5,4.4,11.1,,101,108
98,95,Kyrie Irving,PG,24,CLE,18,18,653,13.2,28.2,.468,3.3,9.0,.373,9.8,19.2,.512,5.8,6.4,.905,1.0,2.9,3.9,7.2,1.7,0.6,3.7,2.9,35.5,,116,115
99,96,LeBron James,SF,32,CLE,18,18,744,14.5,25.6,.565,2.9,7.1,.411,11.6,18.5,.625,7.5,10.8,.698,1.3,9.7,11.0,9.4,2.3,1.5,4.8,2.9,39.5,,125,108
100,97,Richard Jefferson,SF,36,CLE,14,0,179,4.4,10.5,.421,1.4,5.3,.263,3.1,5.3,.579,5.0,7.8,.643,2.8,4.2,6.9,1.9,0.6,0.8,2.2,8.3,15.3,,111,116
101,98,Brandon Jennings,PG,27,WAS,13,0,178,3.9,10.0,.389,0.6,3.6,.154,3.3,6.4,.522,2.0,2.2,.875,1.4,3.9,5.3,6.7,0.6,0.0,2.2,3.6,10.3,,104,117
102,99,Jonas Jerebko,PF,29,BOS,12,0,128,6.0,12.4,.484,2.0,6.0,.333,4.0,6.4,.625,3.2,3.2,1.000,2.8,8.8,11.6,4.8,2.0,1.2,2.4,5.2,17.2,,122,112
103,100,Amir Johnson,PF,29,BOS,14,9,142,5.4,10.8,.500,0.4,1.1,.333,5.0,9.7,.519,1.8,2.9,.625,6.1,4.7,10.8,1.1,1.4,2.2,2.2,8.6,13.0,,111,115
104,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
105,101,Joe Johnson,SF,35,UTA,11,2,326,9.3,21.3,.436,2.4,7.2,.333,6.9,14.1,.489,1.8,2.4,.733,1.3,5.6,6.9,4.3,1.0,0.2,2.1,3.4,22.7,,101,114
106,102,Wesley Johnson,SF,29,LAC,3,0,11,0.0,0.0,,0.0,0.0,,0.0,0.0,,4.9,9.7,.500,0.0,9.7,9.7,0.0,4.9,0.0,0.0,9.7,4.9,,123,102
107,103,Dahntay Jones,SF,36,CLE,10,0,33,7.5,15.1,.500,1.5,3.0,.500,6.0,12.0,.500,7.5,7.5,1.000,1.5,9.0,10.5,1.5,0.0,1.5,1.5,10.5,24.1,,132,113
108,104,Damian Jones,C,21,GSW,4,0,21,6.8,16.0,.429,0.0,0.0,,6.8,16.0,.429,2.3,4.6,.500,9.1,4.6,13.7,0.0,4.6,2.3,0.0,6.8,16.0,,117,100
109,105,James Jones,SF,36,CLE,8,0,30,1.7,8.3,.200,0.0,5.0,.000,1.7,3.3,.500,0.0,0.0,,1.7,5.0,6.6,0.0,0.0,0.0,3.3,5.0,3.3,,41,118
110,106,DeAndre Jordan,C,28,LAC,7,7,264,8.7,12.3,.705,0.0,0.2,.000,8.7,12.1,.717,4.5,11.3,.393,5.1,15.4,20.4,1.0,0.6,1.2,3.4,5.9,21.9,,113,107
111,107,Cory Joseph,PG,25,TOR,10,2,212,7.5,17.3,.437,2.2,5.3,.409,5.3,11.9,.449,1.9,1.9,1.000,1.0,4.1,5.1,7.5,1.0,0.5,3.4,4.1,19.2,,102,113
112,108,Kyle Korver,SG,35,CLE,18,0,326,5.2,12.2,.425,4.1,10.5,.391,1.1,1.7,.636,1.5,1.5,1.000,0.3,4.3,4.6,2.0,1.1,0.8,1.1,3.4,16.0,,123,115
113,109,Joffrey Lauvergne,C,25,CHI,3,0,26,8.0,22.0,.364,0.0,4.0,.000,8.0,18.0,.444,12.0,12.0,1.000,10.0,8.0,18.0,10.0,0.0,0.0,4.0,2.0,28.1,,119,117
114,110,Jake Layman,SF,22,POR,2,0,16,5.9,11.7,.500,2.9,2.9,1.000,2.9,8.8,.333,2.9,5.9,.500,0.0,2.9,2.9,2.9,2.9,0.0,0.0,5.9,17.6,,132,117
115,111,David Lee,PF,33,SAS,15,4,245,5.3,10.1,.521,0.0,0.2,.000,5.3,9.9,.532,2.3,3.6,.647,4.2,7.8,12.0,2.3,0.8,1.1,1.3,4.2,12.8,,121,114
116,112,Kawhi Leonard,SF,25,SAS,12,12,429,12.7,24.2,.525,3.0,6.6,.455,9.7,17.6,.551,11.4,12.2,.931,2.3,8.9,11.2,6.6,2.4,0.7,3.1,2.5,39.8,,136,110
